issueTitle,sectionTitle,sectionAbbrev,authors,articleTitle,year,datePublished,volume,issue,startPage,endPage,articleAbstract,galleyLabel,authorEmail,fileName,keywords
"Volume 7: Allergies, Autoimmunity, and Microbiome",Ask an Expert,AAE,"McCusker, Christine; Byrne, Adam",Immune system over-reactivity – are allergens the real aggressors? Who is to blame?,2016,2016/06/01,7,1,Page 32,Page 33,,pdf,healthscienceinquiry@gmail.com,2016-7-aae-1-cm.pdf,
"Volume 7: Allergies, Autoimmunity, and Microbiome",Ask an Expert,AAE,"Raymond, Frédéric; Corbeil, Jacques","How can we work our microbiome to improve our overall health and immunity – the good, the bad, and the ugly?",2016,2016/06/01,7,1,Page 34,Page 35,,pdf,healthscienceinquiry@gmail.com,2016-7-aae-2-fr.pdf,
"Volume 7: Allergies, Autoimmunity, and Microbiome",Ask an Expert,AAE,"Olesovsky, Christopher J.; Tran, Maxwell; Oliveria, John-Paul",Immune system over-reactivity – Are allergens the real aggressors? Who is to blame?,2016,2016/06/01,7,1,Page 36,Page 39,,pdf,healthscienceinquiry@gmail.com,2016-7-aae-3-cjo.pdf,
"Volume 7: Allergies, Autoimmunity, and Microbiome",Main Submissions,MSA,"Ly, Hieu; Singh, Kevin",A Brief Overview of Non-Celiac Gluten Sensitivity,2016,2016/06/01,7,1,Page 15,Page 16,,pdf,healthscienceinquiry@gmail.com,2016-7-msa-1-hl.pdf,
"Volume 7: Allergies, Autoimmunity, and Microbiome",Main Submissions,MSA,"Simms, Elizabeth",Early Introduction of Peanut: NEW Horizons in Preventing Food Allergy,2016,2016/06/01,7,1,Page 17,Page 18,,pdf,healthscienceinquiry@gmail.com,2016-7-msa-2-es.pdf,
"Volume 7: Allergies, Autoimmunity, and Microbiome",Main Submissions,MSA,"Scime, Natalie V.",Promoting a healthy gut microbiome in preterm infants,2016,2016/06/01,7,1,Page 19,Page 20,,pdf,healthscienceinquiry@gmail.com,2016-7-msa-3-nvs.pdf,
"Volume 7: Allergies, Autoimmunity, and Microbiome",Main Submissions,MSA,"Khan, Shawn; Oliveria, John-Paul",Regulatory B cells: The NEW cells on the block to modulate allergic inflammation,2016,2016/06/01,7,1,Page 21,Page 23,,pdf,healthscienceinquiry@gmail.com,2016-7-msa-4-sk.pdf,
"Volume 7: Allergies, Autoimmunity, and Microbiome",Main Submissions,MSA,"Amarthaluru, Spandana; Olesovsky, Christopher J.; Oliveria, John-Paul",IgE+ B cells in the pathogenesis of allergic asthma: fundamental but often forgotten,2016,2016/06/01,7,1,Page 24,Page 27,,pdf,healthscienceinquiry@gmail.com,2016-7-msa-5-sa.pdf,
"Volume 7: Allergies, Autoimmunity, and Microbiome",Main Submissions,MSA,"Lewinson, Rebecca",Hair loss vs. emotion: How negative emotions could be increasing your hair loss,2016,2016/06/01,7,1,Page 28,Page 29,,pdf,healthscienceinquiry@gmail.com,2016-7-msa-6-rl.pdf,
"Volume 7: Allergies, Autoimmunity, and Microbiome",Main Submissions,MSA,"Lewinson, Ryan T.",Does the weather play a role in psoriatic disease?,2016,2016/06/01,7,1,Page 30,Page 31,,pdf,healthscienceinquiry@gmail.com,2016-7-msa-7-rtl.pdf,
"Volume 7: Allergies, Autoimmunity, and Microbiome",News,NEW,"Townsend, Logan","The Tangled Relationship Between Autoimmunity, Alzheimer’s Disease, and Exercise",2016,2016/06/01,7,1,Page 6,Page 7,,pdf,healthscienceinquiry@gmail.com,2016-7-new-1-lt.pdf,
"Volume 7: Allergies, Autoimmunity, and Microbiome",News,NEW,"Foran, Christine",BIO-FLASH® Providing Early Diagnosis of Autoimmune Diseases,2016,2016/06/01,7,1,Page 8,Page 9,,pdf,healthscienceinquiry@gmail.com,2016-7-new-2-cf.pdf,
"Volume 7: Allergies, Autoimmunity, and Microbiome",News,NEW,"Le, Michelle",Demystifying Systemic Lupus Erythematosis,2016,2016/06/01,7,1,Page 10,Page 11,,pdf,healthscienceinquiry@gmail.com,2016-7-new-3-ml.pdf,
"Volume 7: Allergies, Autoimmunity, and Microbiome",News,NEW,"Bandara, Thilina",Interview with Dr. Azad: Understanding the interactions between prenatal environments and allergies,2016,2016/06/01,7,1,Page 12,Page 13,,pdf,healthscienceinquiry@gmail.com,2016-7-new-4-tb.pdf,
"Volume 7: Allergies, Autoimmunity, and Microbiome",Spotlight on Careers,SOC,"Liu, Rebecca",Interview with Dr. Claudia Hui - an Analyst at Bloom Burton & Co.,2016,2016/06/01,7,1,Page 40,Page 42,,pdf,healthscienceinquiry@gmail.com,2016-7-soc-1-rl.pdf,
"Volume 7: Allergies, Autoimmunity, and Microbiome",Spotlight on Careers,SOC,"Liu, Rebecca",Interview with Dr. Steven Smith - a Scientific Advisor at GSK,2016,2016/06/01,7,1,Page 43,Page 43,,pdf,healthscienceinquiry@gmail.com,2016-7-soc-2-rl.pdf,
"Volume 7: Allergies, Autoimmunity, and Microbiome",Spotlight on Careers,SOC,"Viguiliouk, Effie",Interview with Dr. Bhargavi Duvvuri - a Postdoctoral Fellow working on Rheumatoid Arthritis and Peptide-based immunotherapy at McMaster University,2016,2016/06/01,7,1,Page 44,Page 45,,pdf,healthscienceinquiry@gmail.com,2016-7-soc-3-ev.pdf,
Volume 8: Gene Editing and Personalized Medicine,Ask an Expert,AAE,"Carter, Ronald F.","Do you believe that N-of-1 trials (a clinical trial in which a single patient is the entire trial), are appropriate to evaluate the effectiveness of genomic therapies for rare and/or common genetic disorders? Do gene-editing/targeting therapies have the potential to expedite the advancement of personalized medicine?",2017,2017/06/01,8,1,Page 60,Page 61,,pdf,healthscienceinquiry@gmail.com,2017-8-aae-1-rec.pdf,
Volume 8: Gene Editing and Personalized Medicine,Ask an Expert,AAE,"Boulanger, Renaud F.; Fraser, Veronique; Seller, Lori",Ethics guidelines and gene editing technology: the challenges of enforceability and legitimacy,2017,2017/06/01,8,1,Page 62,Page 63,,pdf,healthscienceinquiry@gmail.com,2017-8-aae-2-rfb.pdf,
Volume 8: Gene Editing and Personalized Medicine,Ask an Expert,AAE,"Emili, Andrew",Disease ‘interactome’ maps that may one day point to NEW diagnostics,2017,2017/06/01,8,1,Page 64,Page 65,,pdf,healthscienceinquiry@gmail.com,2017-8-aae-3-ae.pdf,
Volume 8: Gene Editing and Personalized Medicine,Ask an Expert,AAE,"Jacob, Karen J.; Virani, Alice","With the recent advents of gene-editing technologies, how can we establish ethical guidelines to prevent the exploitations of these technologies in applications that are outside of conventional medicine?”",2017,2017/06/01,8,1,Page 66,Page 67,,pdf,healthscienceinquiry@gmail.com,2017-8-aae-4-kjj.pdf,
Volume 8: Gene Editing and Personalized Medicine,Main Submissions,MSA,"Zhang, Yichi; MacCosham, Aaron","Cut, Repair, Stitch – How Close Are We to Molecular Surgery Performed Using Genome Editing Techniques?",2017,2017/06/01,8,1,Page 18,Page 20,,pdf,healthscienceinquiry@gmail.com,2017-8-msa-1-yz.pdf,
Volume 8: Gene Editing and Personalized Medicine,Main Submissions,MSA,"Yee, Michelle; Dragoman, Alex; Oliveria, John-Paul",An Overview of CRISPR – From Germs to Giants,2017,2017/06/01,8,1,Page 21,Page 24,,pdf,healthscienceinquiry@gmail.com,2017-8-msa-2-my.pdf,
Volume 8: Gene Editing and Personalized Medicine,Main Submissions,MSA,"Boroumand, Parastoo; Hakem Zadeh, Farigol",Next Steps in Cancer Therapy: Integration of Gene Editing in Inducible Pluripotent Stem Cells,2017,2017/06/01,8,1,Page 25,Page 26,,pdf,healthscienceinquiry@gmail.com,2017-8-msa-3-pb.pdf,
Volume 8: Gene Editing and Personalized Medicine,Main Submissions,MSA,"Sandhu, Love P.; Dawson, John F.","CRISPRs to Treat, Understand, and Prevent Disease",2017,2017/06/01,8,1,Page 27,Page 28,,pdf,healthscienceinquiry@gmail.com,2017-8-msa-4-lps.pdf,
Volume 8: Gene Editing and Personalized Medicine,Main Submissions,MSA,"Kirubarajan, Abirami; Lu, Jia; Oliveria, John-Paul",Vectors Have Both Magnitude and Direction: Considerations for Viral versus Non-Viral Vectors in Gene Therapy,2017,2017/06/01,8,1,Page 29,Page 31,,pdf,healthscienceinquiry@gmail.com,2017-8-msa-5-ak.pdf,
Volume 8: Gene Editing and Personalized Medicine,Main Submissions,MSA,"Ungard, Robert",NEW Developments in Human Embryonic Research Put Pressure on the 14-Day Rule,2017,2017/06/01,8,1,Page 32,Page 33,,pdf,healthscienceinquiry@gmail.com,2017-8-msa-6-ru.pdf,
Volume 8: Gene Editing and Personalized Medicine,Main Submissions,MSA,"Seward, Caleb; Li, Harry; Oliveria, John-Paul",CRISPR and TALEN: Facilitating Tailored Genomes of the Future,2017,2017/06/01,8,1,Page 34,Page 36,,pdf,healthscienceinquiry@gmail.com,2017-8-msa-7-cs.pdf,
Volume 8: Gene Editing and Personalized Medicine,Main Submissions,MSA,"Alharbi, Ohood",Clinical Application of Omics Technology in the History of Primary Lactose Intolerance,2017,2017/06/01,8,1,Page 37,Page 38,,pdf,healthscienceinquiry@gmail.com,2017-8-msa-8-oa.pdf,
Volume 8: Gene Editing and Personalized Medicine,Main Submissions,MSA,"Boroditsky, Matthew; Mubasher, Mobeen; Oliveria, John-Paul",A Lens Into Mass Cytometry: A Multifaceted Technology Used to Delve Deep into Single-Cell Analysis,2017,2017/06/01,8,1,Page 39,Page 42,,pdf,healthscienceinquiry@gmail.com,2017-8-msa-9-mb.pdf,
Volume 8: Gene Editing and Personalized Medicine,Main Submissions,MSA,"Lofft, Meghan",Heritable Genome Editing: Technological Innovation for Future Perspectives in Healthcare,2017,2017/06/01,8,1,Page 43,Page 44,,pdf,healthscienceinquiry@gmail.com,2017-8-msa-10-ml.pdf,
Volume 8: Gene Editing and Personalized Medicine,Main Submissions,MSA,"Shuldiner, Jennifer",The personal side to genetic testing,2017,2017/06/01,8,1,Page 45,Page 46,,pdf,healthscienceinquiry@gmail.com,2017-8-msa-11-js.pdf,
Volume 8: Gene Editing and Personalized Medicine,Main Submissions,MSA,"Kirubarajan, Abirami; Norris, Emily; Oliveria, John-Paul",It’s In Your Genes: Recent Considerations in Germline versus Somatic Gene Therapy,2017,2017/06/01,8,1,Page 47,Page 49,,pdf,healthscienceinquiry@gmail.com,2017-8-msa-12-ak.pdf,
Volume 8: Gene Editing and Personalized Medicine,Main Submissions,MSA,"Boroumand, Parastoo; Deljoomanesh, Neshat; Hakem Zadeh, Farigol",Query into the Future of Gene Editing: Possibilities and Apprehensions,2017,2017/06/01,8,1,Page 50,Page 52,,pdf,healthscienceinquiry@gmail.com,2017-8-msa-13-pb.pdf,
Volume 8: Gene Editing and Personalized Medicine,Main Submissions,MSA,"Nath, Moushumi; Zhu, Xinwen",The Predictive Power of Omics: Clinical Applications,2017,2017/06/01,8,1,Page 53,Page 55,,pdf,healthscienceinquiry@gmail.com,2017-8-msa-14-mn.pdf,
Volume 8: Gene Editing and Personalized Medicine,Main Submissions,MSA,"Amarthaluru, Spandana; Aw, Michael; Oliveria, John-Paul",In Utero Gene Therapy: A Brave NEW World of Designer Babies?,2017,2017/06/01,8,1,Page 56,Page 58,,pdf,healthscienceinquiry@gmail.com,2017-8-msa-15-sa.pdf,
Volume 8: Gene Editing and Personalized Medicine,News,NEW,"Townsend, Logan",The ethics of genetic engineering,2017,2017/06/01,8,1,Page 6,Page 7,,pdf,healthscienceinquiry@gmail.com,2017-8-new-1-lt.pdf,
Volume 8: Gene Editing and Personalized Medicine,News,NEW,"Padwal, Manreet",The CRISPR/Cas9 system in gene editing of cancer stem cells,2017,2017/06/01,8,1,Page 8,Page 9,,pdf,healthscienceinquiry@gmail.com,2017-8-new-2-mp.pdf,
