issueTitle,sectionTitle,sectionAbbrev,authors,articleTitle,year,datePublished,volume,issue,startPage,endPage,articleAbstract,galleyLabel,authorEmail,fileName,keywords
"Vol 7: International Kimberlite Conference, Cape Town",Extended Abstracts,fm,International Kimberlite Conference,Front Matter,1998,1998-04-17,,,,,,PDF,ojshelp@ualberta.ca,IKC07_FM,
"Vol 7: International Kimberlite Conference, Cape Town",Extended Abstracts,fm,International Kimberlite Conference,Table of Contents,1998,1998-04-17,,,,,,PDF,ojshelp@ualberta.ca,IKC07_TOC,
"Vol 7: International Kimberlite Conference, Cape Town",Extended Abstracts,in,International Kimberlite Conference,Index,1998,1998-04-17,,,,,,PDF,ojshelp@ualberta.ca,IKC07_INDEX,
"Vol 7: International Kimberlite Conference, Cape Town",Extended Abstracts,ABS,"Abdrakhimov, M.Z.;Kouznetsova, E.I.;Traskin, V.Yu.",Development of intergranular cracking and relaxation of stress in deep crystalline rock of earth crust as result of physico-chemical influence of water,1998,1998-04-17,7,,1,3,,PDF,ojshelp@ualberta.ca,IKC07_001,
"Vol 7: International Kimberlite Conference, Cape Town",Extended Abstracts,ABS,"Abe, N.;Arai, S.;Yurimoto, H.",Petrology of the arc peridotite xenoliths: implications for geochemical evolution of the wedge mantle,1998,1998-04-17,7,,4,6,,PDF,ojshelp@ualberta.ca,IKC07_002,
"Vol 7: International Kimberlite Conference, Cape Town",Extended Abstracts,ABS,"Afanasiev, V.P.;Pokhilenko, N.P.;Logvinova, A.M.,Yefimova, E.S.",Problem of false indicators for kimberlites and lamproites (on the example of chromites),1998,1998-04-17,7,,7,8,,PDF,ojshelp@ualberta.ca,IKC07_003,
"Vol 7: International Kimberlite Conference, Cape Town",Extended Abstracts,ABS,"Agashev, A.M.;Fomin, A S.;Watanabe, T.;Pokhilenko, N.P",Preliminary age determination of recently discovered kimberlites of the Siberian kimberlite province,1998,1998-04-17,7,,9,10,,PDF,ojshelp@ualberta.ca,IKC07_004,
"Vol 7: International Kimberlite Conference, Cape Town",Extended Abstracts,ABS,"Agashev, A M.;Watanabe,T.;Kuligin, S.S.;Pokhilenko, N.P.;Orihashi, Y.","Sr-Nd isotopes in the gamet-pyroxenite xenoliths from Siberian kimberlites, a new insight into lithospheric mantle",1998,1998-04-17,7,,11,13,,PDF,ojshelp@ualberta.ca,IKC07_005,
"Vol 7: International Kimberlite Conference, Cape Town",Extended Abstracts,ABS,"Ananiev, V.A.;Kuligin, S.S.;Reimers, L.F.;Khlestov, V.V.",Paragenetic analysis of the upper mantle minerals from the heavy mineral concentrates of kimberlites based on an original statistic method,1998,1998-04-17,7,,14,16,,PDF,ojshelp@ualberta.ca,IKC07_006,
"Vol 7: International Kimberlite Conference, Cape Town",Extended Abstracts,ABS,"Andre,L.;Shatsky, V.S.;De Corte, K.;Sobolev, N.V.;Navez, J.;Jagoutz, E.",K-rich clinopyroxenes as mantle conveyers of crustal-derived components,1998,1998-04-17,7,,17,19,,PDF,ojshelp@ualberta.ca,IKC07_007,
