issueTitle,sectionTitle,sectionAbbrev,authors,articleTitle,year,datePublished,volume,issue,startPage,endPage,articleAbstract,galleyLabel,authorEmail,fileName,keywords
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Ustinov, V.N.",Diamond-bearing terrigenous rocks: key role in prediction and exploration of buried deposits,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-21_Ustinov.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Howarth, G.H.;Skinner, E.M.W.","Sub-volcanic development of embryonic kimberlite pipes: evidence from the Lace and Voorspoed Group II kimberlites, South Africa",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-22_Howarth.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Dawson, J.B.;Lock, N.P.",Contrasting peridotite xenolith suites from the Letseng kimberlites: inferences for the Lesotho mantle,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-24_Dawson.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Pokhilenko, L.N.;Alifirova, T.A.",The alkaline minerals from the mantle xenoliths of kimberlite pipes of Yakutia,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-28_PokhilenkoLN28.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Fowler, J.A.;Biscaye, E.;Metatawabin, S.H.A.",Diamond mining and sustainability at De Beers’ Canadian mines,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-29_Fowler.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Marshall, T.R.",Evaluation and valuation of alluvial diamond deposits,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-30_Tania.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Muntener, C.;Scott-Smith, B.H.","Economic geology of Renard 3, Quebec, Canada: a diamondiferous, multi-phase pipe infilled with hypabyssal and tuffisitic kimberlite",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-31_Muntener.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Sahu, N.;Gupta, T.Patel, S.C.;Khuntia, D.B.K.;Thakur, S.S.;Das, S.K.","Petrology of lamproites from the Nuapada lamproite field, Bastar craton, India",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-32_Sahu.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Tretyachenko, V.V.;Bovkun, A.V.;Garanin, K.V.;Garanin, V.K.;Tretyachenko, N.G.","Formation features of the early-Hercynic alkaline-ultrabasic and basic volvanic complexes and diamondiferous criteria of the kimberlites from Zimny Bereg area (north-west of Archangelsk region, Russia)",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-33_Tretyachenko.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Skinner, W.M.E.","A geological model of the Kao kimberlites, Lesotho, based on the petrography of limited samples",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-34_Michael-Skinner.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Smith, C.B.;Bulanova, G.P.;Presser, J.L.B.","Diamonds from Capiibary, Paraguay",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-36_Smith.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Patel, S.C.;Ravi, S.;Thakur, S.S.",MARID-type xenoliths in Proterozoic kimberlites from southern India: implications on mantle metasomatism,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-37_Patel.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Aulbach, S.;Stachel, T.;Heaman, L.M.;Creaser, R.A.;Seitz, H.M.;Shirey, S.B.",Diamond formation in the slab and mantle wedge: examples from the Slave craton,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-38_Aulbach.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Pell, J.;Grütter, H.;Grenon, H.;Dempsey, S.;Neilson, S.","Exploration and discovery of the Chidliak kimberlite province, Baffin Island, Nunavut: Canada’s newest diamond district",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-40_Pell.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Jelsma, H.;Krishnan, U.;Perritt, S.;Preston, R.;Winter, F.;Lemotlo, L.;van der Linde, G.;Armstrong, R.;Philips, D.;Joy, S.;Costa, J.;Facatino, M.;Posser, A.;Kumar, M.;Wallace, C.;Chinn, I.;Henning, A.",Kmberlite from central Angola: a case study of exploration findings,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-42_Jelsma.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Agashev, A.M.;Ionov, D.;Pokhilenko, N.P.;Golovin, A.V.;Surgutanova, E.A.;Sharygin, I.S.",Metasomatism in cratonic mantle root: insight from geochemistry of deformed peridotite xenoliths of Udachnaya pipe,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-44_Agashev.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Suryanarayana Rao, K.V.;Kumar, C.;Kumar, A.;Nandish, V.;Swamy, R.T.","Lamproites from the eastern margin of the Bhandara craton, Orissa, India: an exploration case study",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-45_Surayanraya.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Shchukina, E.V.;Malkovets, N.G.;Golovin, N.N.;Pokhilenko, N.P.","Peridotitic mantle section beneath V.Grib kimberlite pipe (Arkhangelsk region, Russia): mineralogical composition, P-T conditions, metasomatism",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-46_Shchukina.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Tappe, S.;Nowell, G.M.;Kurszlaukis, S.;Kjarsgaard, B.A.","Large igneous provinces and kimberlites? Origin of the diamondiferous amon kimberlites, Baffin Island, Arctic Canada",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-47_Tappe.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Alifirova, T.A.;Pokhilenko, L.N.;Malkovets, V.G.;Griffin, W.L.",Petrological inferences for the role of exsolution in upper mantle: evidence from the Yakutian kimberlite xenoliths,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-48_Alifirova_updated.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Yakovlev, D.A.;Kostrovitsky, S.I.;Suvorova, L.F.",Typomorphic features of groundmass minerals from diamondiferous kimberlites of Yakutia,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-49_Yakovlev.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Khachatryan, G.K.;Kaminsky, F.V.;Anashkina, N.E.",FTIR microscope analysis of diamond and indicator minerals as a new tool in prospecting for diamond deposits,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-50_Khackatryan.pdf,
