issueTitle,sectionTitle,sectionAbbrev,authors,articleTitle,year,datePublished,volume,issue,endPage,startPage,articleAbstract,galleyLabel,authorEmail,fileName,keywords,language
required,required,"required: sectionTitle and sectionAbbrev need not already exist in the OJS journal. If they don't exist, import will create them. If they do exist they must match (can be found in settings --> journal -->sections --> edit)","required: Lastname, Firstname. Separate multiple authors with "";"" . single name or phrase allowed (eg Manitoba Law Association)",required,required,required: format YYYY-MM-DD,not required: numeric characters only,not required: max 10 alphanumeric characters only,not required,not required,not required,not required: should be file type,required: can be generic (eg journal email address). not validated anywhere.,"required: file names is case-sensitive, must contain extension (.pdf), and must not contain spaces","not required: separate multiple keywords / phrases with "";""",
Information Ethics,Editorial,ED,"Capurro, Rafael; Hausmanninger, Thomas;Weil, Felix",On IJIE,2004,2004/06/01,1,,2,1,,PDF,,ijie_001_01_editorial.pdf,,English
Information Ethics,Article,AR,"Capurro, Rafael",Information Ethics ? A Position Paper,2004,2004/06/01,1,,7,1,The paper describes some of the main ethical challenges of information society as currently discussed within the framework of the World Summit on the Information Society. It addresses the question of ?what is information ethics?? under a twofold perspective. In a large sense information ethics is said to deal with ethical questions related to all kinds of digital phenomena including all non-digital but digitalized or digitalizable phenomena. In a narrower sense information ethics deals with ethical questions of human communication within a digital environment. A non-metaphysical foundation of information ethics in the narrower sense (?nethics? or Internet ethics) is given. Curricula targets are briefly outlined.,PDF,ojshelp@ualberta.ca,ijie_001_02_capurro.pdf,,German
Information Ethics,Article,AR,"Weil, Felix",From the Ethical Use of the Media to a 'useful' Media Ethics,2004,2004/06/01,1,,8,1,"Without knowing the rules of the game in a specific area qualified ethical decisions within are simply not possible. Therefore, a fundamental understanding of the phenomenon 'media' is a prerequisite for the ?usablity? of any media ethics. This understanding of the very basis of media is introduced by the notion of space: media is the space where the presentation of something is possible ? formally that space fulfils the criteria of a Hilbert space; more common is this concept in the notion of cyberspace e.g.. As presentations (in a real as well as in a Hilbert space) do not exist separated from each other but are (more or less) connected, are linked, thus acting in the media can be understood as moving in the space of communication, following the links. This understanding leads to fundamentally new ethical categories: media ethic is the challenge of ethically designing the communicative space. The appropriate ethical approach for this task can be found in Wittgenstein's notion of 'use'. That overcomes the 'blind' application of ethical norms to categorical distinctive descriptions, which is very common through the term 'applied ethics' though it can be easily proved as aporetic. The investigation in what the ethical 'ought' basically could mean shows that there is no normative meaning without a descriptive context: 'to ought' always means 'to ought' in a certain situation, be it more common or more specific. Ethically right then means: one can decide on the basis of good reasons to do the right in this or that situation. And ethics finally is the quest to categorize, structure and systemize these right decisions by the means of creating a comprehensive theory. These are the limits and the dignity of ethics as a scientific scholarship and media ethics in particular.",PDF,ojshelp@ualberta.ca,ijie_001_03_weil.pdf,,German
Information Ethics,Article,AR,"Hausmanninger, Thomas",Pragmatic Actions or Ethics Needed?,2004,2004/06/01,1,,10,1,"Do we need global ethics for the net? Is it even possible to put these into the form of a universal agreement, embodying the necessary rules and principles in an all-encompassing code of conduct? Or will any such endeavors simply shatter on the differences of cultures? Ought they be labeled as sort of attempted imperialism, more subtle perhaps in comparison with other forms of cultural imperialism?but nevertheless an attempt of such? If so, then ethical concepts need to be restricted to territorially or ethnically specific realms. In that case, the quest for Net-Ethics could perhaps be substituted by pragmatic actions: instruments of control that are simply technical and formal, devoid of moral input and moral convictions. Such a viewpoint has been offered lately in the form of a concept by the Bertelsmann Foundation, which combines rating and filtering instruments with a social lattice-work of net-supervision and transnational combinations of institutions of control. That concept indeed has its charm. It has its problems too; problems that can be made obvious from an ethical viewpoint and which counter the notion, that it is possible to supplant moral instances with pragmatic action. The text therefore reconstructs the concept in question, criticizes it and attempts to sketch an ethical approach to the problem that respects diversity and plurality.",PDF,ojshelp@ualberta.ca,ijie_001_04_hausmanninger.pdf,,English
Information Ethics,Article,AR,"Baruchson-Arbib, Shifra",A Study of Students' Perception,2004,2004/06/01,1,,7,1,"Recent studies have shown a growing tendency among students to commit plagiarism, especially from online information sources. This unpleasant phenomenon has a far- reaching impact on both the scientific world and the information society. The present study aimed to examine students' perceptions toward acts of plagiarism, in order to explore whether plagiarism from internet sources is perceived differently than plagiarism from printed sources. Findings of the present study indicate that students perceive plagiarism offences from online sources as significantly less dishonest than similar offences using printed sources. Possible implications of these findings are discussed and several conclusions are noted. Analysis of these findings from a broad perspective highlights the essential need to address ethical issues concerning uses of both online and offline information sources.",PDF,ojshelp@ualberta.ca,ijie_001_05_baruchson.pdf,,English
Information Ethics,Article,AR,"Takenouchi, Tadashi",Ethos in the Information Society and the Development of ?angeletics?,2004,2004/06/01,1,,8,1,"Rafael Capurro is one of the pioneers of the hermeneutic approach to information studies, especially with regard to ethical issues. One of the main goals of his study is to understand ?ethos? in the information society. Capurro?s ideas concerning the information technology are different from those of Dreyfus although they both have hermeneutic viewpoints. The scope of his study is widened in his latest study named ?angeletics? which means ?message studies.? Angeletics, hermeneutics, and mediology are complementary to each other. Capurro?s idea concerning ethics in the information age is based on ?technologies of the self? which are not ?act-oriented? but ?self-oriented.? It is also expected that interactions between Capurro and Japanese thought patterns produce some important contributions to information ethics.",PDF,ojshelp@ualberta.ca,ijie_001_06_takenouchi.pdf,,English
ICIE Symposium 2004,Editorial,ED,"Capurro, Rafael; Hausmanninger, Thomas; Weil, Felix",International ICIE Symposium 2004,2004,2004/11/01,2,,v,v,,PDF,ojshelp@ualberta.ca,001_ijie_002_01_editorial.pdf,,English
ICIE Symposium 2004,Article,AR,"Aparac-Jelu?i?, Tatjana","The Internet in island communities in Croatia: between government
strategies and reality",2004,2004/11/01,2,,,,"The question of integrating Internet into the every day life of people living in isolated areas (e.g. islands and
remote rural areas) has been of particular interest to the Croatian Government. It has addressed this issue in
its basic strategic and action-plan documents which aimed to improve state economy and living conditions of
Croatia's citizens. Also, adopted LIS professional statements have been aiming to increase library awareness,
as one of the focal points to the equal access to information for all citizens regardless of their educational,
social or economic background.
The paper will discuss Government initiatives related to the e-community building issues on islands and in
other rural areas in Croatia. Related awareness raising initiatives of LIS professionals, aimed at professionals,
governing bodies and citizens, will also be discussed.",PDF,ojshelp@ualberta.ca,ijie_002_02_aparac.pdf,,English
ICIE Symposium 2004,Article,AR,"Baruchson-Arbib, Shifra","?Social Information Science? ? as a concept for assimilating Smart
Internet Usage in a Multi-Cultural Society : The Case of Israel",2004,2004/11/01,2,,,9,"The present paper discusses Social Information Science, an innovative field of study, which can enhance
assimilation of smart internet usage in multi-cultural countries such as Israel. Social Information Science
(S.I.) deals with the development ,theory and applications relating to the retrieval and processing of social
and medical information, training ?social information scientists,? as well as the development of SI mediation
services such as SI banks, SI sections in schools ,public libraries, hospitals, community centers, and private
services. Together, these concerted efforts aim to establish a modern information-oriented climate in which
stressful social and medical issues are handled through the retrieval and use of reliable information as the
basis for knowledgeable decision making. Mediation services demonstrate the potential and risks involved in
internet usage, as well as the importance of information-based decisions. Social Information Science will help

train people to conduct their daily life decisions on the basis of information selection and self-responsibility-
which is a step forward in the evolvement and empowerment the individual.",PDF,ojshelp@ualberta.ca,ijie_002_03_baruchson.pdf,,English
